service_id,inventory_id,service_type,service_date,service_cost
1,1,tire change,2016-03-01,157.5000
2,1,oil service,2016-03-01,105.0000
3,2,tire change,2016-03-01,157.5000
4,2,oil service,2016-03-01,105.0000
5,3,tire change,2016-03-01,157.5000
6,3,oil service,2016-03-01,157.5000
7,4,tire change,2016-03-01,157.5000
8,4,oil service,2016-03-01,105.0000
9,5,tire change,2016-03-01,157.5000
10,5,oil service,2016-03-01,210.0000
11,6,tire change,2016-03-01,157.5000
12,6,oil service,2016-03-01,157.5000
13,8,tire change,2016-03-01,157.5000
14,8,oil service,2016-03-01,157.5000
15,9,tire change,2016-03-01,157.5000
16,9,oil service,2016-03-01,157.5000
17,11,tire change,2016-03-01,157.5000
18,11,oil service,2016-03-01,210.0000
19,12,tire change,2016-03-01,157.5000
20,12,oil service,2016-03-01,210.0000
21,13,tire change,2016-03-01,157.5000
22,13,oil service,2016-03-01,210.0000
23,14,tire change,2016-03-01,157.5000
24,14,oil service,2016-03-01,105.0000
25,15,tire change,2016-03-01,157.5000
26,15,oil service,2016-03-01,105.0000
27,16,tire change,2016-03-01,157.5000
28,16,oil service,2016-03-01,157.5000
29,17,tire change,2016-03-01,157.5000
30,17,oil service,2016-03-01,105.0000
31,18,tire change,2016-03-01,157.5000
32,18,oil service,2016-03-01,105.0000
33,19,tire change,2016-03-01,157.5000
34,19,oil service,2016-03-01,157.5000
35,20,tire change,2016-03-01,157.5000
36,20,oil service,2016-03-01,105.0000
37,21,tire change,2016-03-01,157.5000
38,21,oil service,2016-03-01,210.0000
39,22,tire change,2016-03-01,157.5000
40,22,oil service,2016-03-01,105.0000
41,23,tire change,2016-03-01,157.5000
42,23,oil service,2016-03-01,157.5000
43,24,tire change,2016-03-01,157.5000
44,24,oil service,2016-03-01,105.0000
45,25,tire change,2016-03-01,157.5000
46,25,oil service,2016-03-01,105.0000
47,26,tire change,2016-03-01,157.5000
48,26,oil service,2016-03-01,157.5000
49,27,tire change,2016-03-01,157.5000
50,27,oil service,2016-03-01,105.0000
51,28,tire change,2016-03-01,157.5000
52,28,oil service,2016-03-01,210.0000
53,29,tire change,2016-03-01,157.5000
54,29,oil service,2016-03-01,210.0000
55,30,tire change,2016-03-01,157.5000
56,30,oil service,2016-03-01,157.5000
57,31,tire change,2016-03-01,157.5000
58,31,oil service,2016-03-01,105.0000
59,34,tire change,2016-03-01,157.5000
60,34,oil service,2016-03-01,105.0000
61,40,tire change,2016-03-01,157.5000
62,40,oil service,2016-03-01,210.0000
63,42,tire change,2016-03-01,157.5000
64,42,oil service,2016-03-01,105.0000
65,44,tire change,2016-03-01,157.5000
66,44,oil service,2016-03-01,105.0000
67,47,tire change,2016-03-01,157.5000
68,47,oil service,2016-03-01,210.0000
69,49,tire change,2016-03-01,157.5000
70,49,oil service,2016-03-01,157.5000
71,50,tire change,2016-03-01,157.5000
72,50,oil service,2016-03-01,210.0000
73,54,tire change,2016-03-01,157.5000
74,54,oil service,2016-03-01,210.0000
75,55,tire change,2016-03-01,157.5000
76,55,oil service,2016-03-01,157.5000
77,56,tire change,2016-03-01,157.5000
78,56,oil service,2016-03-01,210.0000
79,59,tire change,2016-03-01,157.5000
80,59,oil service,2016-03-01,105.0000
81,62,tire change,2016-03-01,157.5000
82,62,oil service,2016-03-01,105.0000
83,66,tire change,2016-03-01,157.5000
84,66,oil service,2016-03-01,210.0000
85,69,tire change,2016-03-01,157.5000
86,69,oil service,2016-03-01,210.0000
87,71,tire change,2016-03-01,157.5000
88,71,oil service,2016-03-01,105.0000
89,72,tire change,2016-03-01,157.5000
90,72,oil service,2016-03-01,157.5000
91,75,tire change,2016-03-01,157.5000
92,75,oil service,2016-03-01,105.0000
93,76,tire change,2016-03-01,157.5000
94,76,oil service,2016-03-01,105.0000
95,77,tire change,2016-03-01,157.5000
96,77,oil service,2016-03-01,105.0000
97,81,tire change,2016-03-01,157.5000
98,81,oil service,2016-03-01,105.0000
99,84,tire change,2016-03-01,157.5000
100,84,oil service,2016-03-01,210.0000
101,85,tire change,2016-03-01,157.5000
102,85,oil service,2016-03-01,157.5000
103,87,tire change,2016-03-01,157.5000
104,87,oil service,2016-03-01,157.5000
105,88,tire change,2016-03-01,157.5000
106,88,oil service,2016-03-01,157.5000
107,91,tire change,2016-03-01,157.5000
108,91,oil service,2016-03-01,210.0000
109,93,tire change,2016-03-01,157.5000
110,93,oil service,2016-03-01,157.5000
111,95,tire change,2016-03-01,157.5000
112,95,oil service,2016-03-01,210.0000
113,96,tire change,2016-03-01,157.5000
114,96,oil service,2016-03-01,157.5000
115,99,tire change,2016-03-01,157.5000
116,99,oil service,2016-03-01,210.0000
117,100,tire change,2016-03-01,157.5000
118,100,oil service,2016-03-01,157.5000
119,104,tire change,2016-03-01,157.5000
120,104,oil service,2016-03-01,157.5000
121,105,tire change,2016-03-01,157.5000
122,105,oil service,2016-03-01,157.5000
